Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv4,487,UDP,192.168.1.6,34.160.152.31,57578,443,UDP,0,0xfaa0,0,0
IPv6,523,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0x0f39,0,0
IPv4,66,TCP,192.168.1.6,185.80.36.156,61262,443,TCP,0x0002,0x0f46,65535,0
IPv6,316,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0xbcf8,0,0
IPv6,94,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::9d,61227,443,QUIC,0,0x59f2,0,0
IPv6,102,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0x3b9a,0,0
IPv6,93,UDP,2a00:1450:400b:c03::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62261,UDP,0,0xc08a,0,0
IPv6,1292,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0x2e57,0,0
IPv6,1292,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0x277c,0,0
IPv6,368,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0x7cd6,0,0
IPv6,986,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0x5870,0,0
IPv6,133,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0xbea0,0,0
IPv6,260,UDP,2a00:1450:400b:c03::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62261,UDP,0,0xea95,0,0
IPv6,85,UDP,2a00:1450:400b:c03::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,62261,UDP,0,0xad7d,0,0
IPv6,86,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0xfa7c,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0x3d85,0,0
IPv6,93,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0xffad,0,0
IPv6,99,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9d,62261,443,UDP,0,0xd7b5,0,0
IPv6,95,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9d,62261,443,UDP,0,0xed04,0,0
IPv6,178,UDP,fe80::a7b:12ff:fec1:d237,fe80::95ca:d278:281a:9d45,53,50156,DNS,0,0xdcbd,0,0
IPv6,90,UDP,2a00:1450:400b:c03::9c,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,56974,QUIC,0,0x1666,0,0
IPv6,116,UDP,fe80::a7b:12ff:fec1:d237,fe80::95ca:d278:281a:9d45,53,63909,DNS,0,0xc294,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::5e,62638,443,QUIC,0,0x2f04,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c01::5e,62638,443,QUIC,0,0x4743,0,0
